Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

6,05	0,94	4,0	5,9	5,0
6,08	0,95	4,0	5,9	5,0
6,10	0,94	4,0	5,9	5,0
6,12	0,93	4,0	5,9	5,0
6,15	0,95	4,0	5,9	5,0
6,17	0,95	4,0	5,9	5,0
6,20	0,94	4,0	5,9	5,0
6,22	0,94	4,0	5,9	5,0
6,25	0,95	4,0	5,9	5,0
6,27	0,96	4,0	5,9	5,0
6,30	0,96	4,0	5,9	5,0
6,32	0,95	4,0	5,9	5,0
6,34	0,97	4,0	5,9	5,0
6,37	0,97	4,0	5,9	5,0
6,39	0,96	4,0	5,9	5,0
6,42	0,96	4,0	5,9	5,0
6,44	0,97	4,0	5,9	5,0
6,47	0,98	4,0	5,9	5,0
6,49	0,97	4,0	5,9	5,0
6,52	0,97	4,0	5,9	5,0
6,54	0,98	4,0	5,9	5,0
6,56	0,98	4,0	5,9	5,0
6,59	0,98	4,0	5,9	5,0
6,61	0,98	4,0	5,9	5,0
6,64	0,99	4,0	5,9	5,0
6,66	1,00	4,0	5,9	5,0
6,69	0,99	4,0	5,9	5,0
6,71	0,99	4,0	5,9	5,0
6,73	1,01	4,0	5,9	5,0
6,76	1,01	4,0	5,9	5,0
6,78	1,00	4,0	5,9	5,0
6,81	1,00	4,0	5,9	5,0
6,83	1,01	4,0	5,9	5,0
6,86	1,02	4,0	5,9	5,0
6,88	1,01	4,0	5,9	5,0
6,91	1,01	4,0	5,9	5,0
6,93	1,02	4,0	5,9	5,0
6,95	1,02	4,0	5,9	5,0
6,98	1,02	4,0	5,9	5,0
7,00	1,02	4,0	5,9	5,0
7,03	1,03	4,0	5,9	5,0
7,05	1,03	4,0	5,9	5,0
7,08	1,04	4,0	5,9	5,0
7,10	1,04	4,0	5,9	5,0
7,13	1,03	4,0	5,9	5,0
7,15	1,04	4,0	5,9	5,0
7,17	1,04	4,0	5,9	5,0
7,20	1,04	4,0	5,9	5,0
7,22	1,04	4,0	5,9	5,0
7,25	1,05	4,0	5,9	5,0
7,27	1,05	4,0	5,9	5,0
7,30	1,04	4,0	5,9	5,0
7,32	1,04	4,0	5,9	5,0
7,35	1,05	4,0	5,9	5,0
7,37	1,05	4,0	5,9	5,0
7,39	1,05	4,0	5,9	5,0
7,42	1,05	4,0	5,9	5,0
7,44	1,06	4,0	5,9	5,0
7,47	1,06	4,0	5,9	5,0
7,49	1,06	4,0	5,9	5,0
7,52	1,07	4,0	5,9	5,0
7,54	1,07	4,0	5,9	5,0
7,57	1,08	4,0	5,9	5,0
7,59	1,07	4,0	5,9	5,0
7,61	1,07	4,0	5,9	5,0
7,64	1,08	4,0	5,9	5,0
7,66	1,08	4,0	5,9	5,0
7,69	1,09	4,0	5,9	5,0
7,71	1,08	4,0	5,9	5,0
7,74	1,08	4,0	5,9	5,0
7,76	1,09	4,0	5,9	5,0
7,78	1,10	4,0	5,9	5,0
7,81	1,09	4,0	5,9	5,0
7,83	1,08	4,0	5,9	5,0
7,86	1,10	4,0	5,9	5,0
7,88	1,10	4,0	5,9	5,0
7,91	1,09	4,0	5,9	5,0
7,93	1,09	4,0	5,9	5,0
7,96	1,11	4,0	5,9	5,0
7,98	1,11	4,0	5,9	5,0
8,00	1,10	4,0	5,9	5,0
8,03	1,10	4,0	5,9	5,0
8,05	1,12	4,0	5,9	5,0
8,08	1,12	4,0	5,9	5,0
8,10	1,11	4,0	5,9	5,0
8,13	1,11	4,0	5,9	5,0
8,15	1,12	4,0	5,9	5,0
8,18	1,12	4,0	5,9	5,0
8,20	1,12	4,0	5,9	5,0
8,22	1,12	4,0	5,9	5,0
8,25	1,13	4,0	5,9	5,0
8,27	1,13	4,0	5,9	5,0
8,30	1,12	4,0	5,9	5,0
8,32	1,12	4,0	5,9	5,0
8,35	1,13	4,0	5,9	5,0
8,37	1,13	4,0	5,9	5,0
8,40	1,12	4,0	5,9	5,0
8,42	1,12	4,0	5,9	5,0
8,44	1,14	4,0	5,9	5,0
8,47	1,14	4,0	5,9	5,0
8,49	1,14	4,0	5,9	5,0
8,52	1,14	4,0	5,9	5,0
8,54	1,15	4,0	5,9	5,0
8,57	1,15	4,0	5,9	5,0
8,59	1,14	4,0	5,9	5,0
8,62	1,14	4,0	5,9	5,0
8,64	1,15	4,0	5,9	5,0
8,66	1,15	4,0	5,9	5,0
8,69	1,15	4,0	5,9	5,0
8,71	1,15	4,0	5,9	5,0
8,74	1,16	4,0	5,9	5,0
8,76	1,16	4,0	5,9	5,0
8,79	1,15	4,0	5,9	5,0
8,81	1,16	4,0	5,9	5,0
8,84	1,16	4,0	5,9	5,0
8,86	1,16	4,0	5,9	5,0
8,88	1,16	4,0	5,9	5,0
8,91	1,16	4,0	5,9	5,0
8,93	1,17	4,0	5,9	5,0
8,96	1,17	4,0	5,9	5,0
8,98	1,16	4,0	5,9	5,0
9,01	1,17	4,0	5,9	5,0
9,03	1,18	4,0	5,9	5,0
9,05	1,17	4,0	5,9	5,0
9,08	1,16	4,0	5,9	5,0
9,10	1,17	4,0	5,9	5,0
9,13	1,18	4,0	5,9	5,0
9,15	1,17	4,0	5,9	5,0
9,18	1,16	4,0	5,9	5,0
9,20	1,18	4,0	5,9	5,0
9,23	1,18	4,0	5,9	5,0
9,25	1,17	4,0	5,9	5,0
9,27	1,17	4,0	5,9	5,0
9,30	1,18	4,0	5,9	5,0
9,32	1,19	4,0	5,9	5,0
9,35	1,18	4,0	5,9	5,0
9,37	1,17	4,0	5,9	5,0
9,40	1,19	4,0	5,9	5,0
9,42	1,19	4,0	5,9	5,0
9,45	1,19	4,0	5,9	5,0
9,47	1,19	4,0	5,9	5,0
9,49	1,18	4,0	5,9	5,0
9,52	1,18	4,0	5,9	5,0
9,54	1,18	4,0	5,9	5,0
9,57	1,18	4,0	5,9	5,0
9,59	1,18	4,0	5,9	5,0
9,62	1,18	4,0	5,9	5,0
9,64	1,19	4,0	5,9	5,0
9,67	1,19	4,0	5,9	5,0
9,69	1,19	4,0	5,9	5,0
9,71	1,19	4,0	5,9	5,0
9,74	1,20	4,0	5,9	5,0
9,76	1,20	4,0	5,9	5,0
9,79	1,19	4,0	5,9	5,0
9,81	1,20	4,0	5,9	5,0
9,84	1,20	4,0	5,9	5,0
9,86	1,20	4,0	5,9	5,0
9,89	1,20	4,0	5,9	5,0
9,91	1,21	4,0	5,9	5,0
9,93	1,21	4,0	5,9	5,0
9,96	1,21	4,0	5,9	5,0
9,98	1,20	4,0	5,9	5,0
10,01	1,21	4,0	5,9	5,0
10,03	1,21	4,0	5,9	5,0
10,06	1,20	4,0	5,9	5,0
10,08	1,21	4,0	5,9	5,0
10,10	1,22	4,0	5,9	5,0
