Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

13,52	1,10	5,0	5,9	5,0
13,55	1,10	5,0	5,9	5,0
13,57	1,09	5,0	5,9	5,0
13,60	1,08	5,0	5,9	5,0
13,62	1,07	5,0	5,9	5,0
13,65	1,07	5,0	5,9	5,0
13,67	1,06	5,0	5,9	5,0
13,69	1,04	5,0	5,9	5,0
13,72	1,03	5,0	5,9	5,0
13,74	1,03	5,0	5,9	5,0
13,77	1,01	5,0	5,9	5,0
13,79	0,99	5,0	5,9	5,0
13,82	0,99	5,0	5,9	5,0
13,84	0,99	5,0	5,9	5,0
13,87	0,97	5,0	5,9	5,0
13,89	0,95	5,0	5,9	5,0
13,91	0,94	5,0	5,9	5,0
13,94	0,94	5,0	5,9	5,0
13,96	0,93	5,0	5,9	5,0
13,99	0,91	5,0	5,9	5,0
14,01	0,90	5,0	5,9	5,0
14,04	0,90	5,0	5,9	5,0
14,06	0,89	5,0	5,9	5,0
14,09	0,87	5,0	5,9	5,0
14,11	0,86	5,0	5,9	5,0
14,13	0,86	5,0	5,9	5,0
14,16	0,85	5,0	5,9	5,0
14,18	0,82	5,0	5,9	5,0
14,21	0,81	5,0	5,9	5,0
14,23	0,81	5,0	5,9	5,0
14,26	0,80	5,0	5,9	5,0
14,28	0,78	5,0	5,9	5,0
14,31	0,77	5,0	5,9	5,0
14,33	0,76	5,0	5,9	5,0
14,35	0,76	5,0	5,9	5,0
14,38	0,74	5,0	5,9	5,0
14,40	0,73	5,0	5,9	5,0
14,43	0,72	5,0	5,9	5,0
14,45	0,71	5,0	5,9	5,0
14,48	0,70	5,0	5,9	5,0
14,50	0,68	5,0	5,9	5,0
14,52	0,67	5,0	5,9	5,0
14,55	0,66	5,0	5,9	5,0
14,57	0,65	5,0	5,9	5,0
14,60	0,63	5,0	5,9	5,0
14,62	0,62	5,0	5,9	5,0
14,65	0,61	5,0	5,9	5,0
14,67	0,59	5,0	5,9	5,0
14,70	0,57	5,0	5,9	5,0
14,72	0,56	5,0	5,9	5,0
14,74	0,56	5,0	5,9	5,0
14,77	0,54	5,0	5,9	5,0
14,79	0,52	5,0	5,9	5,0
14,82	0,51	5,0	5,9	5,0
14,84	0,50	5,0	5,9	5,0
14,87	0,49	5,0	5,9	5,0
14,89	0,46	5,0	5,9	5,0
14,92	0,46	5,0	5,9	5,0
14,94	0,45	5,0	5,9	5,0
14,96	0,43	5,0	5,9	5,0
14,99	0,41	5,0	5,9	5,0
15,01	0,40	5,0	5,9	5,0
15,04	0,39	5,0	5,9	5,0
15,06	0,38	5,0	5,9	5,0
15,09	0,37	5,0	5,9	5,0
15,11	0,35	5,0	5,9	5,0
15,14	0,34	5,0	5,9	5,0
15,16	0,34	5,0	5,9	5,0
15,18	0,33	5,0	5,9	5,0
15,21	0,30	5,0	5,9	5,0
15,23	0,29	5,0	5,9	5,0
15,26	0,29	5,0	5,9	5,0
15,28	0,28	5,0	5,9	5,0
15,31	0,27	5,0	5,9	5,0
15,33	0,26	5,0	5,9	5,0
15,36	0,25	5,0	5,9	5,0
15,38	0,24	5,0	5,9	5,0
15,40	0,22	5,0	5,9	5,0
15,43	0,22	5,0	5,9	5,0
15,45	0,22	5,0	5,9	5,0
15,48	0,21	5,0	5,9	5,0
15,50	0,20	5,0	5,9	5,0
15,53	0,19	5,0	5,9	5,0
15,55	0,19	5,0	5,9	5,0
15,57	0,19	5,0	5,9	5,0
15,60	0,17	5,0	5,9	5,0
15,62	0,17	5,0	5,9	5,0
15,65	0,17	5,0	5,9	5,0
15,67	0,17	5,0	5,9	5,0
15,70	0,15	5,0	5,9	5,0
15,72	0,15	5,0	5,9	5,0
15,75	0,15	5,0	5,9	5,0
15,77	0,14	5,0	5,9	5,0
15,79	0,13	5,0	5,9	5,0
15,82	0,13	5,0	5,9	5,0
15,84	0,13	5,0	5,9	5,0
15,87	0,13	5,0	5,9	5,0
15,89	0,11	5,0	5,9	5,0
15,92	0,11	5,0	5,9	5,0
15,94	0,11	5,0	5,9	5,0
15,97	0,11	5,0	5,9	5,0
15,99	0,10	5,0	5,9	5,0
16,01	0,10	5,0	5,9	5,0
16,04	0,10	5,0	5,9	5,0
16,06	0,10	5,0	5,9	5,0
16,09	0,09	5,0	5,9	5,0
16,11	0,08	5,0	5,9	5,0
16,14	0,08	5,0	5,9	5,0
16,16	0,08	5,0	5,9	5,0
16,19	0,07	5,0	5,9	5,0
16,21	0,07	5,0	5,9	5,0
16,23	0,07	5,0	5,9	5,0
16,26	0,07	5,0	5,9	5,0
16,28	0,06	5,0	5,9	5,0
16,31	0,06	5,0	5,9	5,0
16,33	0,06	5,0	5,9	5,0
16,36	0,06	5,0	5,9	5,0
16,38	0,05	5,0	5,9	5,0
16,41	0,05	5,0	5,9	5,0
16,43	0,05	5,0	5,9	5,0
16,45	0,05	5,0	5,9	5,0
16,48	0,05	5,0	5,9	5,0
16,50	0,05	5,0	5,9	5,0
16,53	0,05	5,0	5,9	5,0
16,55	0,05	5,0	5,9	5,0
16,58	0,04	5,0	5,9	5,0
16,60	0,04	5,0	5,9	5,0
16,63	0,04	5,0	5,9	5,0
16,65	0,04	5,0	5,9	5,0
16,67	0,04	5,0	5,9	5,0
16,70	0,04	5,0	5,9	5,0
16,72	0,04	5,0	5,9	5,0
16,75	0,04	5,0	5,9	5,0
16,77	0,04	5,0	5,9	5,0
16,80	0,04	5,0	5,9	5,0
16,82	0,04	5,0	5,9	5,0
16,84	0,05	5,0	5,9	5,0
