Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

5,34	21,98	1,0	5,9	7,0
5,37	22,04	1,0	5,9	7,0
5,39	22,13	1,0	5,9	7,0
5,42	22,16	1,0	5,9	7,0
5,44	22,16	1,0	5,9	7,0
5,47	22,22	1,0	5,9	7,0
5,49	22,32	1,0	5,9	7,0
5,51	22,36	1,0	5,9	7,0
5,54	22,35	1,0	5,9	7,0
5,56	22,43	1,0	5,9	7,0
5,59	22,54	1,0	5,9	7,0
5,61	22,56	1,0	5,9	7,0
5,64	22,56	1,0	5,9	7,0
5,66	22,64	1,0	5,9	7,0
5,68	22,75	1,0	5,9	7,0
5,71	22,77	1,0	5,9	7,0
5,73	22,79	1,0	5,9	7,0
5,76	22,89	1,0	5,9	7,0
5,78	23,00	1,0	5,9	7,0
5,81	23,02	1,0	5,9	7,0
5,83	23,03	1,0	5,9	7,0
5,86	23,13	1,0	5,9	7,0
5,88	23,23	1,0	5,9	7,0
5,90	23,24	1,0	5,9	7,0
5,93	23,25	1,0	5,9	7,0
5,95	23,34	1,0	5,9	7,0
5,98	23,45	1,0	5,9	7,0
6,00	23,46	1,0	5,9	7,0
6,03	23,48	1,0	5,9	7,0
6,05	23,57	1,0	5,9	7,0
6,08	23,66	1,0	5,9	7,0
6,10	23,66	1,0	5,9	7,0
6,12	23,68	1,0	5,9	7,0
6,15	23,79	1,0	5,9	7,0
6,17	23,88	1,0	5,9	7,0
6,20	23,89	1,0	5,9	7,0
6,22	23,92	1,0	5,9	7,0
6,25	24,02	1,0	5,9	7,0
6,27	24,12	1,0	5,9	7,0
6,30	24,13	1,0	5,9	7,0
6,32	24,16	1,0	5,9	7,0
6,34	24,27	1,0	5,9	7,0
6,37	24,35	1,0	5,9	7,0
6,39	24,35	1,0	5,9	7,0
6,42	24,39	1,0	5,9	7,0
6,44	24,51	1,0	5,9	7,0
6,47	24,57	1,0	5,9	7,0
6,49	24,57	1,0	5,9	7,0
6,52	24,62	1,0	5,9	7,0
6,54	24,72	1,0	5,9	7,0
6,56	24,77	1,0	5,9	7,0
6,59	24,77	1,0	5,9	7,0
6,61	24,81	1,0	5,9	7,0
6,64	24,93	1,0	5,9	7,0
6,66	24,98	1,0	5,9	7,0
6,69	24,98	1,0	5,9	7,0
6,71	25,04	1,0	5,9	7,0
6,73	25,15	1,0	5,9	7,0
6,76	25,21	1,0	5,9	7,0
6,78	25,22	1,0	5,9	7,0
6,81	25,28	1,0	5,9	7,0
6,83	25,39	1,0	5,9	7,0
6,86	25,45	1,0	5,9	7,0
6,88	25,47	1,0	5,9	7,0
6,91	25,53	1,0	5,9	7,0
6,93	25,64	1,0	5,9	7,0
6,95	25,69	1,0	5,9	7,0
6,98	25,70	1,0	5,9	7,0
7,00	25,77	1,0	5,9	7,0
7,03	25,88	1,0	5,9	7,0
7,05	25,93	1,0	5,9	7,0
7,08	25,93	1,0	5,9	7,0
7,10	26,00	1,0	5,9	7,0
7,13	26,12	1,0	5,9	7,0
7,15	26,15	1,0	5,9	7,0
7,17	26,15	1,0	5,9	7,0
7,20	26,24	1,0	5,9	7,0
7,22	26,33	1,0	5,9	7,0
7,25	26,31	1,0	5,9	7,0
7,27	26,35	1,0	5,9	7,0
7,30	26,48	1,0	5,9	7,0
7,32	26,55	1,0	5,9	7,0
7,35	26,53	1,0	5,9	7,0
7,37	26,57	1,0	5,9	7,0
7,39	26,70	1,0	5,9	7,0
7,42	26,77	1,0	5,9	7,0
7,44	26,76	1,0	5,9	7,0
7,47	26,81	1,0	5,9	7,0
7,49	26,96	1,0	5,9	7,0
7,52	27,00	1,0	5,9	7,0
7,54	27,01	1,0	5,9	7,0
7,57	27,11	1,0	5,9	7,0
7,59	27,21	1,0	5,9	7,0
7,61	27,22	1,0	5,9	7,0
7,64	27,23	1,0	5,9	7,0
7,66	27,33	1,0	5,9	7,0
7,69	27,44	1,0	5,9	7,0
7,71	27,45	1,0	5,9	7,0
7,74	27,47	1,0	5,9	7,0
7,76	27,56	1,0	5,9	7,0
7,78	27,65	1,0	5,9	7,0
7,81	27,65	1,0	5,9	7,0
7,83	27,68	1,0	5,9	7,0
7,86	27,78	1,0	5,9	7,0
7,88	27,87	1,0	5,9	7,0
7,91	27,87	1,0	5,9	7,0
7,93	27,91	1,0	5,9	7,0
7,96	28,03	1,0	5,9	7,0
7,98	28,11	1,0	5,9	7,0
8,00	28,10	1,0	5,9	7,0
8,03	28,14	1,0	5,9	7,0
8,05	28,25	1,0	5,9	7,0
8,08	28,32	1,0	5,9	7,0
8,10	28,32	1,0	5,9	7,0
8,13	28,35	1,0	5,9	7,0
8,15	28,46	1,0	5,9	7,0
8,18	28,54	1,0	5,9	7,0
8,20	28,54	1,0	5,9	7,0
8,22	28,59	1,0	5,9	7,0
8,25	28,70	1,0	5,9	7,0
8,27	28,76	1,0	5,9	7,0
8,30	28,76	1,0	5,9	7,0
8,32	28,81	1,0	5,9	7,0
8,35	28,93	1,0	5,9	7,0
8,37	28,99	1,0	5,9	7,0
8,40	28,99	1,0	5,9	7,0
8,42	29,05	1,0	5,9	7,0
8,44	29,16	1,0	5,9	7,0
8,47	29,21	1,0	5,9	7,0
